date,Guinea_Ebola_Confirmed_Case_Number
2014-03-27,17.0
2014-03-31,9.0
2014-04-01,10.0
2014-04-02,5.0
2014-04-07,24.0
2014-04-10,6.0
2014-04-17,40.0
2014-04-21,6.0
2014-04-23,5.0
2014-04-30,13.0
2014-05-05,10.0
2014-05-14,2.0
2014-05-23,25.0
2014-05-27,0.0
2014-05-28,23.0
2014-06-02,10.0
2014-06-05,53.0
2014-06-10,28.0
2014-06-11,4.0
2014-06-18,22.0
2014-07-02,15.0
2014-07-21,1.0
2014-07-24,5.0
2014-07-28,12.0
2014-07-31,33.0
2014-08-03,12.0
2014-08-04,13.0
2014-08-08,10.0
2014-08-12,11.0
2014-08-13,4.0
2014-08-15,9.0
2014-08-19,24.0
2014-08-21,36.0
2014-08-22,28.0
2014-08-28,41.0
2014-09-06,164.0
2014-09-08,50.0
2014-09-16,74.0
2014-09-18,6.0
2014-09-22,66.0
2014-09-24,14.0
2014-09-26,52.0
2014-10-01,83.0
2014-10-03,42.0
2014-10-08,99.0
2014-10-10,52.0
2014-10-15,122.0
2014-10-17,47.0
2014-10-22,21.0
2014-10-25,13.0
2014-10-29,353.0
2014-11-07,29.0
2014-11-12,118.0
2014-11-14,41.0
2014-11-19,52.0
2014-11-21,76.0
2014-11-26,87.0
2014-11-28,21.0
2014-12-03,9.0
2014-12-10,128.0
2014-12-17,124.0
2014-12-24,181.0
2014-12-31,110.0
2015-01-07,68.0
2015-01-14,31.0
2015-01-21,65.0
2015-01-28,46.0
2015-02-04,58.0
2015-02-11,69.0
2015-02-18,64.0
2015-02-25,47.0
2015-03-04,64.0
2015-03-11,66.0
2015-03-18,104.0
2015-03-25,40.0
2015-03-26,30.0
2015-03-27,7.0
2015-03-30,19.0
2015-03-31,7.0
2015-04-01,0.0
2015-04-02,2.0
2015-04-07,21.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,9.0
2015-04-13,17.0
2015-04-14,7.0
2015-04-15,0.0
2015-04-16,18.0
2015-04-17,3.0
2015-04-19,0.0
2015-04-21,3.0
2015-04-22,8.0
2015-04-24,9.0
2015-05-02,6.0
2015-05-05,3.0
2015-05-06,0.0
2015-05-09,7.0
2015-05-12,16.0
2015-05-13,4.0
2015-05-16,7.0
2015-05-19,23.0
2015-05-30,9.0
2015-06-04,4.0
2015-06-05,7.0
2015-06-06,5.0
2015-06-07,1.0
2015-06-09,4.0
2015-06-10,3.0
2015-06-13,0.0
2015-06-14,1.0
2015-06-21,40.0
2015-06-23,0.0
2015-06-24,2.0
2015-06-29,4.0
2015-06-30,21.0
2015-07-03,5.0
2015-07-08,0.0
2015-07-10,3.0
2015-07-13,3.0
2015-07-14,6.0
2015-07-15,0.0
2015-07-16,2.0
2015-07-17,8.0
2015-07-20,14.0
2015-07-23,5.0
2015-07-27,4.0
2015-08-03,0.0
2015-08-06,8.0
2015-08-07,3.0
2015-08-20,0.0
2015-08-21,3.0
2015-08-27,5.0
2015-08-28,0.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-08,0.0
2015-09-14,2.0
2015-09-17,1.0
2015-09-18,0.0
2015-09-21,3.0
2015-09-22,3.0
2015-09-24,1.0
2015-09-28,4.0
2015-09-29,0.0
2015-10-01,3.0
2015-10-02,1.0
2015-10-13,0.0
2015-10-15,2.0
2015-10-16,2.0
2015-10-19,2.0
2015-10-26,3.0
2015-10-27,2.0
2015-10-29,2.0
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,2.0
2015-11-09,1.0
2015-11-16,0.0
2015-11-19,2.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,1.0
2015-12-04,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-14,2.0
2015-12-15,1.0
2015-12-16,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,1.0
2015-12-30,0.0
2016-01-06,0.0
2016-01-13,0.0
2016-01-20,0.0
2016-01-27,0.0
2016-02-03,0.0
2016-02-10,0.0
2016-02-17,0.0
2016-03-03,0.0
2016-03-23,5.0
2016-03-30,2.0
2016-04-13,3.0
