Date,Case Number
2003-03-20,0.0
2003-03-21,2.0
2003-03-22,9.0
2003-03-24,15.0
2003-03-25,2.0
2003-03-26,1.0
2003-03-27,5.0
2003-03-28,6.0
2003-03-29,8.0
2003-03-31,0.0
2003-04-01,10.0
2003-04-02,3.0
2003-04-03,13.0
2003-04-04,15.0
2003-04-05,15.0
2003-04-07,26.0
2003-04-08,7.0
2003-04-09,1.0
2003-04-10,5.0
2003-04-11,12.0
2003-04-12,0.0
2003-04-14,8.0
2003-04-15,19.0
2003-04-16,0.0
2003-04-17,6.0
2003-04-18,21.0
2003-04-19,0.0
2003-04-23,1.0
2003-04-25,2.0
2003-04-26,2.0
2003-04-28,0.0
2003-04-29,0.0
2003-04-30,11.0
2003-05-01,2.0
2003-05-02,2.0
2003-05-05,7.0
2003-05-06,4.0
2003-05-07,0.0
2003-05-09,0.0
2003-05-10,1.0
2003-05-12,0.0
2003-05-13,0.0
2003-05-14,0.0
2003-05-15,0.0
2003-05-16,1.0
2003-05-17,1.0
2003-05-19,1.0
2003-05-20,0.0
2003-05-23,0.0
2003-05-24,0.0
2003-05-26,0.0
2003-05-27,0.0
2003-05-28,1.0
2003-05-29,0.0
2003-05-30,0.0
2003-05-31,0.0
2003-06-02,0.0
2003-06-03,2.0
2003-06-04,1.0
2003-06-05,0.0
2003-06-09,0.0
2003-06-10,1.0
2003-06-11,2.0
2003-06-13,1.0
2003-06-16,1.0
2003-06-17,1.0
2003-06-18,2.0
2003-06-19,0.0
2003-06-23,0.0
2003-06-24,1.0
2003-06-25,0.0
2003-06-27,0.0
2003-07-01,0.0
2003-07-02,0.0
2003-07-03,0.0
2003-07-04,0.0
2003-07-07,0.0
2003-07-08,1.0
2003-07-09,1.0
2003-07-10,0.0
2003-07-11,0.0
